total_funding_usd,category,number_of_funding_rounds,number_of_business_milestones,relationships,number_of_employees,company_age,region
2338650,health,1,NA,3,NA,3,Americas
11e6,software,1,NA,NA,1000,13,Americas
15102417,hardware,1,NA,3,NA,NA,Americas
2e4,web,1,2,6,6,2,Europe
0,web,0,NA,2,2,5,Americas
0,public_relations,0,2,3,10,4,Europe
0,NA,0,1,1,NA,NA,NA
2185e4,hardware,3,1,1,NA,9,Americas
0,web,0,NA,NA,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
322129887,biotech,7,2,22,NA,6,Americas
0,mobile,0,1,2,NA,4,NA
105e5,enterprise,3,1,8,NA,7,Americas
0,NA,0,NA,1,NA,NA,NA
0,mobile,0,2,2,25,14,Europe
0,web,0,1,2,5,3,Americas
0,web,0,1,3,28,5,Asia
0,NA,0,1,1,NA,NA,NA
1e5,games_video,1,1,3,6,0,Americas
0,NA,0,1,4,NA,NA,NA
0,games_video,0,1,2,25,2,Europe
4e5,web,1,1,1,NA,1,Americas
37079200,biotech,2,NA,3,NA,8,Europe
1e6,web,1,1,3,11,5,Asia
0,web,0,1,1,1,2,Americas
0,public_relations,0,NA,1,2,5,Europe
1e6,advertising,1,2,2,50,1,Americas
5e6,biotech,1,1,2,NA,NA,Oceania
28e5,ecommerce,2,2,13,20,6,Americas
0,NA,0,1,1,NA,NA,NA
0,web,0,1,9,20,3,Americas
5e4,medical,1,NA,1,NA,3,Americas
25e5,ecommerce,1,1,3,28,3,Americas
0,consulting,0,1,3,21,9,Americas
1625e3,mobile,3,2,2,6,3,Americas
0,web,0,NA,NA,5,7,Europe
0,NA,0,1,5,NA,NA,Africa
212115,mobile,1,1,2,3,2,Europe
0,web,0,NA,1,1,4,NA
0,NA,0,NA,NA,NA,6,NA
3635e3,biotech,2,NA,2,NA,2,Americas
0,games_video,0,1,4,25,13,Americas
0,software,0,NA,NA,3,NA,NA
825e5,software,5,3,15,60,6,Americas
0,web,0,NA,NA,3,6,Asia
675e3,enterprise,1,1,2,NA,14,Americas
0,NA,0,1,1,NA,NA,NA
365e4,mobile,3,2,2,NA,3,Asia
0,advertising,0,1,1,4,2,Europe
0,software,0,NA,1,NA,NA,Europe
0,NA,0,1,1,NA,NA,NA
3e5,mobile,1,NA,NA,NA,5,Americas
0,NA,0,NA,NA,NA,NA,NA
44115160,advertising,4,1,3,NA,8,Americas
1534e4,enterprise,2,6,4,10,12,Europe
0,NA,0,NA,1,NA,NA,NA
21e6,enterprise,1,2,15,100,9,Asia
0,NA,0,3,4,4,4,Americas
5e4,analytics,1,NA,3,5,2,Americas
0,software,0,1,1,4,2,Americas
0,software,0,2,2,NA,15,Americas
257320,ecommerce,1,1,1,3,0,Europe
3e6,biotech,1,NA,1,NA,NA,Americas
316e4,software,1,NA,1,NA,9,Europe
42e5,messaging,1,2,5,8,1,Americas
0,consulting,0,NA,NA,NA,17,Europe
0,web,0,1,1,4,3,Europe
0,mobile,1,1,2,2,2,Americas
14e5,web,1,2,2,5,2,Americas
1e4,games_video,1,1,4,4,3,Asia
0,other,0,1,3,4,1,Americas
775e3,social,1,1,3,10,2,Americas
0,games_video,0,1,3,5,3,Europe
569092,software,1,NA,2,NA,14,Americas
2e4,sports,1,NA,6,5,3,Americas
0,web,0,NA,NA,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,network_hosting,0,NA,NA,2,3,Europe
0,advertising,0,NA,NA,NA,NA,NA
0,public_relations,0,1,3,5,2,Oceania
0,web,0,1,4,5,4,Americas
165e4,mobile,2,2,14,NA,2,Americas
0,consulting,0,1,5,7,2,Americas
0,NA,0,1,1,NA,NA,NA
0,software,0,1,3,33,9,Americas
0,enterprise,0,1,1,150,10,Americas
8e5,fashion,1,1,2,4,3,Europe
0,games_video,0,1,3,3,2,Oceania
17e5,news,1,NA,NA,NA,NA,Americas
0,other,0,1,1,1,7,Americas
12e6,software,1,1,1,NA,14,Americas
0,NA,0,1,1,NA,NA,NA
85e4,enterprise,3,2,1,3,2,Oceania
12e5,education,1,NA,1,NA,49,Americas
0,cleantech,0,NA,2,NA,NA,Oceania
28e5,medical,1,NA,1,NA,NA,Asia
568e3,software,1,NA,1,NA,5,Americas
3e6,biotech,1,NA,1,NA,NA,Americas
3590727,analytics,2,1,9,NA,6,Americas
2095740,nonprofit,6,2,19,5,5,NA
25e5,fashion,1,2,5,15,1,Americas
0,mobile,0,2,43,1300,13,Asia
0,mobile,0,1,14,10,1,Americas
0,games_video,0,3,2,16,8,Americas
41e6,biotech,2,1,3,NA,17,Americas
0,NA,0,NA,NA,NA,14,Americas
0,ecommerce,0,1,4,4,1,Americas
27e6,semiconductor,2,1,7,NA,12,Americas
0,security,0,NA,NA,10,3,Americas
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
6e6,mobile,1,1,1,75,4,Americas
0,education,0,NA,NA,NA,NA,NA
658e4,search,2,2,7,10,5,Americas
5e5,software,1,NA,1,NA,1,Europe
0,web,0,1,2,4,8,Americas
0,ecommerce,0,1,1,5,1,Americas
18e6,games_video,3,1,2,300,17,Europe
0,NA,0,1,1,NA,NA,NA
0,other,0,NA,NA,NA,50,Americas
0,legal,0,NA,NA,NA,5,Americas
0,other,0,1,4,8,5,Americas
1e6,software,1,NA,3,NA,8,Americas
0,education,1,1,1,2,1,Americas
0,software,0,1,2,5,2,Americas
5e6,mobile,1,2,5,14,1,Europe
0,software,0,NA,1,NA,13,Americas
2e5,web,1,NA,NA,5,2,Europe
235e5,advertising,2,2,4,60,9,Americas
65e4,web,1,NA,4,NA,1,NA
4e4,hardware,1,1,1,3,3,Americas
0,web,0,NA,2,NA,NA,Americas
0,web,0,1,2,2,0,Europe
22394393,security,2,NA,4,NA,12,Americas
0,ecommerce,0,1,1,1,3,Europe
0,hardware,0,NA,NA,NA,NA,NA
0,software,0,1,NA,5,3,NA
0,ecommerce,0,1,7,NA,NA,Americas
0,mobile,0,NA,NA,3,2,NA
134e5,web,1,2,9,25,1,Europe
59005,web,1,1,1,5,0,Americas
0,software,0,NA,NA,15,8,NA
0,web,0,1,2,2,2,Americas
2e5,fashion,1,2,3,4,1,Americas
1e6,security,1,1,2,NA,7,Americas
13e6,security,2,3,13,12,3,Americas
0,NA,0,1,1,NA,NA,NA
3026e4,education,5,1,9,30,7,Americas
0,web,0,NA,2,8,6,Asia
2e6,biotech,1,NA,2,NA,NA,Americas
25e3,mobile,1,1,4,10,4,Americas
0,web,0,1,3,3,2,Europe
5e5,social,1,NA,3,NA,2,NA
2e7,health,1,NA,1,NA,NA,Americas
0,software,0,1,3,8,5,Americas
0,hospitality,1,NA,NA,NA,5,Americas
128e5,enterprise,2,2,4,NA,2,Americas
75e4,other,1,1,1,10,6,Americas
0,consulting,0,1,3,10,8,Asia
5e4,social,1,1,NA,NA,1,Americas
138e5,web,2,NA,16,NA,13,Americas
205e5,software,3,NA,1,20,5,Americas
0,NA,0,1,1,NA,NA,NA
0,web,0,1,3,NA,1,NA
771910,travel,2,1,1,6,1,Europe
799998,web,1,1,7,5,1,Americas
0,web,0,NA,NA,10,6,NA
0,software,0,NA,1,1,4,Europe
0,NA,0,1,1,NA,NA,NA
0,other,0,1,2,2,2,Americas
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,games_video,1,1,3,5,2,Americas
0,software,0,1,4,3,7,Europe
2e4,health,1,2,2,NA,2,Americas
0,NA,0,NA,NA,NA,NA,Americas
2885e4,software,6,1,11,50,11,Americas
0,web,0,1,3,4,2,Europe
0,NA,0,NA,1,NA,NA,NA
0,software,0,1,2,10,11,Americas
214448,biotech,1,NA,2,NA,1,Americas
3e6,web,1,1,2,5,5,Americas
51e5,software,1,1,5,NA,4,Americas
33e5,music,3,2,11,50,11,Americas
0,games_video,0,NA,NA,4,3,Americas
0,other,0,NA,NA,NA,NA,NA
0,web,1,1,2,7,3,Asia
0,NA,0,NA,NA,NA,NA,NA
23e5,mobile,3,NA,2,NA,8,Americas
1228e4,advertising,2,3,10,16,1,Americas
0,other,0,2,2,2,1,Asia
11e5,mobile,1,1,3,12,1,Asia
0,web,1,2,2,10,8,Americas
0,network_hosting,0,1,2,3,5,Americas
273601,real_estate,1,NA,1,NA,NA,Americas
0,software,1,1,5,6,1,Americas
0,enterprise,0,NA,NA,NA,18,Americas
0,other,0,NA,NA,NA,NA,NA
55e4,consulting,2,NA,NA,NA,13,Americas
0,NA,0,1,1,NA,NA,NA
0,finance,0,NA,1,NA,0,NA
25e5,software,1,NA,1,NA,12,Americas
0,legal,0,NA,NA,NA,NA,NA
1313100,finance,1,2,8,10,3,Europe
7626728,biotech,3,NA,1,NA,NA,Americas
0,other,0,NA,NA,NA,25,NA
22023e4,finance,9,4,42,200,7,Americas
14770765,hardware,5,1,10,20,8,Americas
0,games_video,0,1,2,20,9,Europe
2430200,medical,2,NA,2,NA,5,Americas
1e6,web,1,NA,NA,9,14,Americas
1e5,web,1,1,3,NA,2,NA
0,NA,0,1,1,NA,NA,NA
0,transportation,0,NA,NA,NA,NA,NA
0,advertising,0,NA,NA,NA,13,NA
0,hardware,0,2,4,5,2,Americas
25e3,mobile,1,NA,NA,NA,NA,Americas
0,advertising,0,NA,10,NA,1,Americas
42e5,games_video,1,1,3,18,6,Americas
5534612,biotech,1,NA,1,NA,NA,Americas
0,NA,0,1,1,NA,NA,NA
4e5,enterprise,2,1,4,10,3,Americas
0,web,0,NA,NA,NA,2,NA
1e6,social,1,NA,NA,NA,NA,Americas
0,web,0,1,14,400,44,Americas
0,software,0,NA,NA,NA,NA,Americas
0,web,0,1,1,0,3,Americas
0,NA,0,1,1,NA,NA,NA
0,web,0,NA,1,NA,1,Europe
0,public_relations,1,1,2,15,5,Americas
0,software,0,2,3,7,4,Asia
12e5,news,2,1,11,6,2,Americas
0,NA,0,NA,1,NA,NA,NA
0,health,0,NA,NA,NA,NA,NA
0,NA,0,NA,NA,NA,NA,NA
75e5,software,1,NA,1,NA,NA,Americas
35e5,mobile,2,3,4,9,3,Americas
0,NA,0,NA,1,NA,NA,NA
0,search,0,1,1,8,3,Americas
0,mobile,0,1,3,4,1,Americas
0,games_video,0,1,2,3,2,Europe
65e4,education,1,NA,1,NA,NA,Americas
662e4,advertising,2,2,2,7,2,Americas
0,games_video,0,NA,NA,NA,2,NA
243e5,network_hosting,2,1,4,85,7,Americas
0,software,0,NA,NA,50,5,Asia
2e6,software,1,2,8,13,6,Americas
0,software,0,NA,NA,6,NA,NA
135e6,cleantech,1,1,1,NA,2,Asia
1e5,network_hosting,1,NA,3,NA,NA,Americas
12367192,manufacturing,1,NA,NA,NA,NA,Europe
0,other,0,NA,NA,NA,NA,NA
75e6,ecommerce,3,3,13,150,4,Oceania
0,sports,0,1,1,NA,NA,Americas
981843,software,2,5,6,7,4,Americas
5e3,photo_video,3,1,3,3,3,Americas
1e5,ecommerce,1,NA,2,NA,1,Asia
0,mobile,0,1,2,3,4,Europe
0,software,0,1,2,12,4,Americas
385e5,web,1,3,19,120,9,Americas
0,software,0,1,2,20,4,Asia
0,software,0,1,1,2,3,Oceania
1e5,education,2,1,4,7,4,Asia
74e3,social,2,2,6,3,1,Americas
0,NA,0,1,1,NA,NA,NA
0,other,0,NA,NA,3,1,NA
24e5,NA,1,1,1,NA,8,Americas
327775,games_video,1,2,1,5,3,NA
0,other,0,1,2,21,8,Europe
0,software,0,1,1,7,3,Americas
0,NA,0,1,1,NA,NA,NA
855e4,public_relations,5,1,1,NA,NA,Americas
0,other,0,1,1,2,0,Americas
0,web,1,2,1,5,1,Europe
0,search,0,1,6,30,4,Europe
0,other,0,NA,1,1,7,NA
0,photo_video,0,NA,NA,NA,NA,NA
0,mobile,0,2,6,50,6,Europe
0,NA,0,1,1,NA,NA,NA
7e5,search,1,2,9,4,2,Americas
149218,network_hosting,1,1,2,5,4,Africa
0,consulting,0,1,3,500,26,Americas
11e6,software,3,3,8,75,3,Americas
0,NA,0,NA,NA,NA,NA,Europe
3e6,other,1,1,2,22,7,Europe
0,NA,0,1,1,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
375e3,biotech,2,1,3,NA,1,Europe
0,web,0,1,1,NA,4,NA
0,NA,0,1,1,NA,NA,NA
56e5,web,2,NA,NA,NA,7,Americas
5e5,NA,1,NA,NA,NA,NA,NA
15e4,biotech,1,NA,2,NA,3,Americas
0,NA,0,NA,1,NA,NA,NA
624e3,mobile,2,1,3,2,1,Americas
2391664,software,1,1,5,15,4,Europe
0,mobile,0,1,5,5,2,Europe
4218e4,enterprise,5,NA,8,NA,6,Americas
909151,software,1,NA,2,NA,1,Europe
1e6,search,2,1,NA,NA,1,Europe
0,software,0,1,2,20,11,Oceania
0,mobile,0,2,5,6,4,Americas
134e4,hardware,1,NA,NA,NA,NA,Americas
2584e4,security,4,1,26,20,2,Americas
2e7,web,1,3,18,3004,9,Americas
0,games_video,0,1,2,10,2,Asia
0,cleantech,0,NA,NA,10,NA,NA
0,NA,0,NA,1,NA,NA,NA
0,advertising,0,1,1,36,10,Americas
0,consulting,0,1,2,5,9,Americas
15e6,software,1,NA,13,NA,13,Americas
0,automotive,1,1,3,10,4,Europe
0,mobile,0,1,3,3,2,Europe
4e5,photo_video,1,2,7,4,1,Americas
0,consulting,0,NA,3,5,18,Americas
0,software,0,1,1,27,13,Europe
6292200,ecommerce,1,1,5,210,13,Europe
0,consulting,0,NA,NA,50,5,Asia
5e5,ecommerce,3,2,4,7,1,Europe
0,enterprise,1,1,1,NA,NA,Americas
0,enterprise,0,NA,NA,NA,5,NA
25e3,education,1,2,2,NA,2,Americas
12e4,social,1,1,2,5,2,Americas
37500,nonprofit,2,NA,3,NA,1,Americas
5e6,enterprise,1,1,8,NA,14,Americas
573e3,automotive,6,1,2,9,2,Americas
15e5,travel,1,1,6,NA,0,Americas
0,advertising,0,1,2,5,3,Americas
1e6,analytics,1,1,2,NA,1,Asia
4e4,social,2,1,1,5,1,Asia
0,advertising,0,NA,3,12,NA,NA
0,enterprise,0,1,1,42,9,Americas
0,games_video,0,2,10,19,8,Europe
1e6,mobile,1,1,NA,7,1,Americas
0,other,0,2,2,20,11,Europe
0,NA,0,NA,1,NA,NA,NA
65e4,biotech,1,NA,2,NA,4,Americas
0,software,0,1,1,230,23,Americas
3591900,NA,1,NA,NA,NA,NA,Asia
0,mobile,0,NA,NA,NA,NA,NA
0,advertising,0,1,1,60,3,Americas
0,other,0,1,1,1920,54,Americas
0,advertising,0,NA,3,10,10,Americas
0,games_video,0,1,3,10,4,Asia
1e4,web,1,NA,NA,4,2,Americas
0,web,0,1,1,6,12,Europe
10563503,analytics,3,1,9,20,4,Europe
0,mobile,0,2,3,3,1,Americas
93938,software,1,1,3,5,2,Americas
135e4,finance,4,1,4,15,3,Asia
10450218,transportation,1,1,7,NA,12,Americas
0,mobile,1,1,3,3,1,Africa
4e5,enterprise,2,2,6,6,4,Americas
1377e4,web,2,4,9,NA,6,Europe
65e4,web,1,3,4,15,1,Americas
191e4,transportation,2,1,6,5,4,Americas
0,NA,0,NA,1,NA,NA,NA
1500,games_video,1,2,1,1,2,Americas
0,ecommerce,0,NA,NA,NA,7,NA
18885,education,2,1,3,10,4,Europe
0,ecommerce,0,1,2,2,2,Asia
0,public_relations,0,NA,NA,25,12,NA
0,manufacturing,0,1,2,NA,9,Europe
2e4,search,1,1,1,8,2,Americas
1e7,software,1,NA,16,NA,16,Americas
0,ecommerce,0,1,1,7,4,Africa
35e3,web,1,NA,NA,NA,5,Americas
0,ecommerce,0,NA,NA,4,11,NA
0,finance,0,4,3,20,1,Americas
2649997,web,3,2,2,5,2,Americas
0,advertising,0,1,1,3,3,Europe
5e5,photo_video,1,2,13,18,1,Americas
0,NA,0,NA,1,NA,NA,NA
2e6,biotech,1,1,3,NA,NA,Americas
0,games_video,0,NA,NA,NA,13,Oceania
19679276,web,2,3,13,35,6,Europe
2e5,music,2,1,8,NA,1,Americas
35e3,mobile,1,2,8,10,4,Americas
15e4,games_video,1,NA,2,NA,NA,Asia
2e6,real_estate,2,2,6,15,2,Americas
8755e3,mobile,2,1,1,NA,0,Americas
0,other,0,NA,NA,NA,NA,NA
0,games_video,0,NA,NA,4,3,NA
0,software,0,1,1,20,13,Americas
1e7,NA,1,NA,NA,NA,NA,Americas
335e5,local,2,1,7,NA,15,Americas
0,software,0,NA,NA,NA,6,NA
15e5,health,1,1,4,NA,6,Americas
0,NA,0,NA,1,NA,NA,NA
75e4,local,1,NA,1,NA,3,Americas
1e5,games_video,1,NA,5,NA,5,Americas
0,consulting,0,1,1,3,3,Americas
0,other,0,1,1,15,3,Americas
10917805,mobile,1,2,13,50,7,Americas
0,NA,0,1,1,NA,NA,NA
0,security,0,1,5,8,5,Americas
0,hardware,0,3,4,NA,79,Asia
0,other,0,NA,NA,50,33,NA
92e6,medical,5,1,15,NA,7,Americas
3386432,software,3,1,6,21,2,Americas
616e5,social,5,4,15,NA,6,Americas
0,enterprise,0,1,2,6,3,Europe
0,software,0,2,4,15,4,Americas
0,finance,0,NA,NA,NA,NA,NA
0,hospitality,2,2,2,8,2,Americas
10508252,enterprise,5,4,17,25,8,Americas
0,NA,0,1,1,NA,NA,NA
0,security,0,1,3,5,3,Europe
0,search,0,1,1,2,0,Europe
3e7,other,1,1,5,42,7,Europe
0,web,0,2,3,50,13,Americas
127e4,software,1,1,6,140,9,Europe
0,NA,0,1,2,NA,NA,NA
1e7,mobile,1,2,3,100,3,Americas
19260,NA,1,NA,5,NA,NA,NA
479e3,education,2,NA,2,NA,3,Americas
0,web,0,1,1,1,5,NA
0,enterprise,0,1,1,4,0,NA
5e6,finance,1,NA,1,NA,7,Asia
17e4,mobile,2,1,3,5,0,Europe
504300,mobile,1,1,2,5,NA,Americas
0,software,0,1,1,1,1,Americas
0,health,0,NA,NA,NA,NA,NA
1e7,finance,1,1,9,NA,NA,Americas
0,games_video,0,1,5,18,7,Americas
1e6,hardware,1,NA,2,NA,7,Americas
11200600,software,4,NA,2,NA,9,Americas
0,NA,0,1,2,NA,NA,NA
6181640,medical,4,NA,3,NA,NA,Americas
0,social,0,1,1,NA,1,NA
0,other,0,1,1,15,6,NA
0,software,0,NA,NA,5,0,Asia
0,NA,0,1,1,NA,NA,NA
14475735,software,2,3,6,20,1,Americas
1e5,sports,1,1,2,5,2,Americas
13182688,consulting,1,1,NA,NA,30,Europe
21975429,finance,5,1,3,NA,4,Americas
0,other,0,1,1,1,11,Americas
15e4,games_video,1,1,2,4,6,Americas
0,NA,0,NA,NA,NA,NA,NA
555e4,enterprise,1,3,8,NA,3,Americas
11e5,enterprise,2,NA,NA,NA,2,Europe
7267800,software,1,2,2,25,12,Europe
525e4,enterprise,3,1,1,12,1,Americas
732e4,software,1,NA,NA,NA,NA,Asia
5e6,hardware,2,NA,2,NA,11,Americas
17e5,cleantech,2,1,1,NA,5,Americas
125439500,news,2,1,16,75,10,Europe
0,NA,0,1,1,NA,NA,NA
1203068,hardware,1,1,3,5,5,Europe
2e4,ecommerce,1,1,3,3,2,Americas
15e4,search,1,1,1,NA,0,Asia
1e6,mobile,1,2,3,3,1,Americas
0,web,0,1,2,4,1,Asia
3584880,public_relations,1,NA,NA,NA,11,NA
0,NA,0,NA,2,NA,NA,NA
0,advertising,0,1,3,15,4,Americas
4e4,fashion,1,1,1,2,3,Americas
5e4,advertising,1,NA,NA,NA,1,Americas
6903050,biotech,1,NA,NA,NA,NA,Europe
4343800,search,3,NA,9,16,7,Europe
0,NA,0,NA,NA,NA,NA,NA
2793e3,advertising,6,3,10,15,3,Americas
0,travel,0,NA,NA,NA,0,Americas
7e5,travel,2,1,6,4,4,Americas
0,NA,0,1,1,NA,NA,NA
0,ecommerce,0,1,4,4,2,Americas
12e5,software,1,2,6,NA,1,Americas
1e4,cleantech,1,NA,1,NA,2,Americas
2e7,analytics,1,NA,3,NA,NA,Americas
9e5,software,3,1,3,NA,2,Americas
0,other,0,NA,NA,22,5,Europe
1476755,medical,2,NA,3,NA,9,Americas
225e6,enterprise,2,2,6,700,10,Americas
0,other,0,1,3,3,2,Americas
15e3,sports,1,1,2,5,2,Europe
0,NA,0,1,NA,NA,NA,NA
0,software,0,NA,NA,NA,NA,NA
30564745,enterprise,1,3,29,150,29,Europe
0,other,0,1,2,5,10,Europe
24e5,medical,2,1,4,NA,NA,Americas
0,web,0,1,3,5,3,Europe
0,other,0,1,2,5,2,Asia
5e5,web,1,1,4,4,3,Americas
48027,games_video,1,1,1,1,3,Europe
428e5,cleantech,2,1,1,NA,NA,Americas
0,advertising,0,1,2,6,3,Americas
25e3,photo_video,1,NA,3,NA,5,Americas
19e5,ecommerce,1,NA,2,NA,NA,Americas
8e7,ecommerce,1,3,2,NA,7,Oceania
0,public_relations,0,NA,NA,1,4,NA
12e3,software,3,2,7,0,3,Americas
4342015,software,1,1,3,70,23,Americas
1701500,hardware,2,2,5,5,1,Americas
38258268,software,9,3,11,80,8,Americas
1e6,health,1,NA,NA,NA,NA,Americas
0,software,0,1,1,3,4,Americas
0,ecommerce,0,1,2,2,4,Americas
465e5,semiconductor,4,3,15,50,8,Europe
75e4,mobile,1,2,5,8,3,Asia
0,consulting,0,NA,NA,2,10,NA
188375,health,1,NA,NA,NA,NA,Americas
5e4,health,1,1,2,NA,0,Americas
176615,software,1,NA,3,NA,2,Americas
23519998,health,4,2,15,NA,6,Americas
1376848,health,1,NA,3,NA,24,Americas
0,security,0,1,13,35,3,Americas
0,NA,0,1,1,NA,NA,NA
125e4,games_video,2,2,7,10,5,Americas
275e3,software,1,NA,3,NA,14,Americas
0,games_video,0,NA,NA,NA,NA,NA
29e4,biotech,4,NA,NA,NA,NA,Americas
7e7,advertising,1,2,21,150,11,Americas
124309780,ecommerce,4,3,25,NA,14,Americas
0,software,0,2,4,50,7,Europe
0,finance,0,NA,3,NA,NA,Asia
0,NA,0,NA,1,NA,NA,NA
4136360,web,3,3,5,6,4,Europe
64e4,web,3,1,6,NA,2,Europe
0,web,0,NA,2,NA,NA,NA
710710,software,1,NA,1,NA,2,Americas
0,advertising,0,1,1,12,15,Americas
73e5,finance,1,3,24,15,5,Americas
5e4,mobile,1,1,3,5,1,Europe
9e5,games_video,2,NA,1,NA,NA,Americas
257320,web,1,1,NA,NA,1,Europe
4731330,social,3,2,3,30,4,Europe
0,web,0,NA,NA,NA,NA,Americas
0,web,0,2,22,NA,20,Americas
0,web,0,1,NA,1,1,Americas
0,web,0,1,1,15,6,Asia
211459196,health,1,NA,3,NA,2,Americas
0,web,0,NA,2,2,1,Americas
0,NA,0,1,2,NA,NA,NA
17e6,games_video,1,NA,4,NA,10,Americas
853078,games_video,2,1,2,4,3,Americas
215e5,advertising,1,1,11,55,4,Americas
833e5,cleantech,1,NA,NA,NA,24,Asia
0,other,0,1,3,15,4,Americas
0,enterprise,2,1,4,10,2,Americas
0,software,0,2,14,8,10,Americas
0,games_video,0,1,1,40,4,Asia
0,search,0,2,3,14,5,Americas
5e5,hardware,1,NA,4,NA,NA,Americas
0,games_video,0,1,7,53,11,Americas
34e6,games_video,3,4,20,20,8,Americas
2e5,biotech,1,NA,2,NA,16,Americas
413e5,biotech,1,NA,1,NA,16,Americas
0,advertising,0,2,2,80,6,Asia
0,network_hosting,0,1,1,NA,NA,Asia
125e4,social,1,3,8,6,2,Americas
95e5,analytics,2,2,15,25,4,Americas
58e4,games_video,2,1,2,7,3,Americas
0,ecommerce,0,NA,NA,NA,NA,NA
0,consulting,0,1,1,25,15,Americas
16548170,medical,1,1,4,NA,12,Americas
102148270,software,8,2,19,280,13,Americas
0,web,0,NA,2,NA,2,Asia
45585068,software,6,2,20,50,15,Americas
0,other,0,NA,NA,NA,NA,NA
0,NA,0,NA,NA,NA,NA,NA
0,search,0,1,1,4,3,Europe
16e6,mobile,1,2,8,80,1,Americas
0,ecommerce,0,1,4,3,3,Asia
0,other,0,1,2,8,1,Americas
0,software,0,1,2,15,3,Europe
0,education,0,1,1,2,4,NA
93e6,software,1,2,4,350,12,Americas
0,NA,0,1,1,NA,NA,NA
0,other,0,NA,NA,4,22,Americas
0,mobile,0,1,4,10,5,Americas
275e4,mobile,2,1,5,10,3,Americas
0,NA,0,NA,NA,NA,NA,NA
0,education,0,NA,NA,NA,66,NA
0,web,0,1,2,4,7,Americas
0,ecommerce,0,2,5,8,1,Americas
0,advertising,0,1,1,120,9,Americas
0,NA,0,1,1,NA,NA,NA
0,web,0,1,2,2,3,Americas
0,advertising,0,NA,NA,NA,0,NA
65e4,ecommerce,1,NA,NA,NA,1,Americas
1e4,ecommerce,1,1,1,6,1,Americas
0,ecommerce,0,1,7,6,2,Americas
0,games_video,0,1,1,3,3,Americas
4e4,real_estate,1,1,1,NA,0,NA
2e6,enterprise,1,3,5,10,1,Americas
0,NA,0,NA,NA,NA,NA,NA
1e4,ecommerce,1,1,4,NA,0,Europe
653e3,social,2,1,2,6,1,Europe
0,web,0,NA,2,4,3,NA
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,1,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
0,search,0,1,2,10,1,Oceania
