status,category,region,number_of_employees,company_age,number_of_funding_rounds,total_funding_usd,number_of_business_milestones,relationships
closed,network_hosting,Americas,NA,NA,2,3433921,2,4
acquired,web,Americas,NA,NA,1,4039968,2,3
acquired,web,Americas,NA,6,6,126502115,5,30
acquired,advertising,Americas,NA,NA,4,23759553,2,17
acquired,mobile,Americas,NA,NA,3,64349917,3,18
acquired,web,Americas,NA,7,0,0,2,9
acquired,web,Americas,6,6,1,0,NA,3
acquired,web,Americas,99,8,2,8585276,3,8
closed,mobile,Americas,NA,6,2,12120177,1,5
closed,web,Americas,1,6,0,0,4,NA
acquired,web,Americas,39,31,0,0,3,2
acquired,education,Americas,NA,8,1,198035,2,3
closed,advertising,Americas,2,6,1,4257158,2,4
closed,web,Europe,5,6,2,950620,3,4
acquired,games_video,Americas,NA,14,1,19800587,NA,7
closed,web,Europe,9,6,0,0,0,3
closed,web,Americas,NA,NA,2,8910241,3,3
acquired,network_hosting,Americas,NA,NA,2,2227556,5,3
closed,web,Americas,0,9,2,6781698,2,5
acquired,web,Americas,NA,6,2,990057,3,3
acquired,games_video,Americas,NA,NA,4,15149855,2,2
ipo,web,Americas,NA,NA,0,0,3,26
closed,mobile,Americas,NA,7,3,11125820,4,27
closed,network_hosting,Americas,NA,9,4,30299519,2,7
acquired,advertising,Americas,NA,13,2,34649925,NA,25
acquired,web,Americas,NA,15,0,0,2,16
acquired,security,Americas,3,6,0,0,NA,2
closed,mobile,Africa,NA,NA,0,990003,1,NA
acquired,web,Americas,9,7,1,1009990,3,4
acquired,advertising,Americas,49,7,7,30214441,5,18
closed,web,Europe,NA,6,1,704820,3,2
acquired,games_video,Americas,NA,6,1,605994,3,5
acquired,enterprise,Americas,NA,7,5,33329451,5,26
acquired,mobile,Americas,NA,8,3,22624273,3,18
closed,games_video,Americas,NA,NA,4,36056100,3,12
acquired,search,Americas,NA,18,0,0,2,60
ipo,software,Americas,NA,7,6,36612152,3,22
acquired,web,Europe,14,7,2,4741840,3,6
closed,web,Americas,7,9,1,1484842,NA,4
acquired,web,Americas,NA,9,1,1515178,2,5
acquired,enterprise,Americas,NA,NA,3,8860728,3,8
acquired,messaging,Americas,59,13,6,37864496,3,9
acquired,web,Asia,5,8,2,2475092,3,11
acquired,web,Americas,NA,11,2,13433193,NA,6
closed,web,Americas,7,8,2,3635891,3,10
acquired,consulting,Americas,NA,13,4,32670362,5,36
closed,web,Americas,NA,NA,1,4848286,3,7
acquired,advertising,Americas,NA,8,0,0,NA,9
closed,web,Americas,NA,NA,1,99019,NA,2
closed,web,Americas,NA,NA,1,11109801,3,7
closed,enterprise,Americas,16,3,1,1009915,1,4
acquired,mobile,Americas,NA,8,3,32325847,3,21
closed,web,Americas,NA,NA,1,742431,1,NA
closed,web,Asia,NA,NA,3,11231153,NA,1
acquired,advertising,Americas,NA,NA,2,10100329,3,8
closed,network_hosting,Americas,NA,NA,0,0,2,9
acquired,web,Americas,NA,NA,0,0,NA,1
ipo,finance,Americas,NA,17,1,3130896,NA,21
acquired,advertising,Americas,1005,16,1,25250673,3,37
acquired,web,Americas,277,17,0,0,NA,6
acquired,enterprise,Americas,NA,18,0,0,2,26
acquired,software,Americas,NA,12,0,0,NA,2
closed,games_video,Americas,20,NA,2,16159983,2,3
acquired,software,Americas,70,NA,4,92213245,5,13
acquired,network_hosting,Americas,40,7,3,27721036,2,14
acquired,web,Americas,NA,14,1,74250736,NA,4
acquired,web,Americas,NA,NA,0,0,NA,1
ipo,web,Americas,NA,17,0,0,3,23
acquired,web,Americas,NA,19,0,0,1,8
acquired,hardware,Americas,NA,16,2,52271669,3,6
ipo,mobile,Europe,NA,6,2,23859056,NA,4
acquired,web,Europe,NA,NA,0,0,4,5
acquired,network_hosting,Asia,16,NA,3,5050074,2,2
acquired,web,Americas,224,17,2,24749392,3,69
acquired,news,Americas,NA,7,5,36629574,3,31
closed,advertising,Americas,NA,7,2,29848013,4,2
acquired,web,Americas,NA,NA,2,108297749,3,22
closed,games_video,Americas,NA,NA,1,50499949,4,9
acquired,web,Americas,0,7,0,0,NA,4
acquired,web,Americas,NA,8,0,0,3,3
acquired,mobile,Americas,31,7,5,14127823,3,9
closed,web,Americas,NA,9,2,1514989,NA,3
acquired,web,Americas,NA,NA,0,0,NA,NA
acquired,web,Americas,NA,12,0,0,3,3
closed,ecommerce,Americas,4,5,1,808099,1,2
acquired,web,Americas,NA,8,2,9107857,2,11
acquired,advertising,Americas,120,14,0,0,3,23
acquired,sports,Americas,NA,13,1,1188172,3,11
closed,web,Americas,3,7,0,0,3,2
ipo,software,Americas,494,10,3,40399403,6,20
acquired,web,Americas,NA,NA,1,6435313,NA,NA
ipo,ecommerce,Americas,617,14,0,0,5,40
acquired,mobile,Americas,NA,6,1,505072,2,6
closed,web,Americas,0,6,0,0,NA,3
acquired,web,Americas,2023,20,0,0,3,94
ipo,photo_video,Asia,NA,7,5,121200068,4,10
closed,web,Americas,NA,NA,2,5940267,NA,NA
acquired,web,Americas,NA,NA,3,4950202,3,4
closed,web,Americas,NA,8,1,0,1,4
acquired,advertising,NA,NA,7,0,808002,3,9
closed,web,Asia,0,6,1,10116,NA,1
closed,enterprise,Americas,NA,6,1,989987,1,2
acquired,search,Americas,25,8,1,7070081,2,7
acquired,music,Americas,NA,6,2,6633204,4,9
acquired,web,Americas,NA,18,1,8988365,1,NA
closed,web,Americas,NA,NA,1,7069880,NA,4
acquired,games_video,Americas,NA,6,3,17371957,5,11
acquired,other,Americas,20,7,2,12120041,3,6
ipo,ecommerce,Americas,NA,19,0,0,4,12
closed,web,Europe,NA,8,1,4950027,0,NA
acquired,web,Americas,NA,7,1,5453624,NA,5
acquired,games_video,Europe,65,10,3,19205921,3,4
closed,mobile,Americas,3,6,1,3959772,1,3
acquired,web,Americas,NA,NA,2,3465133,3,11
acquired,security,Americas,NA,NA,1,11110657,1,3
acquired,web,Americas,NA,8,1,494841,4,6
acquired,advertising,Americas,30,7,1,3029923,4,19
acquired,web,Americas,NA,NA,0,0,NA,2
acquired,enterprise,Americas,485,14,0,0,2,9
acquired,games_video,Americas,NA,6,0,0,1,NA
acquired,games_video,Asia,NA,8,2,30299377,4,2
acquired,advertising,Americas,36,7,3,8909936,NA,5
acquired,enterprise,Americas,NA,7,1,10100966,2,8
